0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
99.0,11577.0,30383.0,16757.0,6556.0,23.0,4.0,0.0,1.0,16.0,1.0,1.0,2.0,25.0,2.0,39.0,3.0,6.0,9.0,5.0,10.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,94.0,106.0,147.0,195.0,263.0,298.0,297.0,253.0,299.0,335.0,426.0,471.0,635.0,716.0,865.0,1107.0,1222.0,1366.0,1477.0,1431.0,1638.0,1684.0,1625.0,1734.0,1887.0,2285.0,2752.0,3216.0,4210.0,7466.0,24783.0,4.0,15.0,68.0,176.0,726.0,1524.0,2484.0,1536.0,900.0,725.0,654.0,863.0,1002.0,1248.0,1315.0,1493.0,1741.0,1021.0,862.0,868.0,742.0,825.0,849.0,949.0,852.0,1200.0,1366.0,1543.0,1612.0,1988.0,2895.0,31490.0,102.4394454656863,0.9843336455020081,0.02731074783497192,0.3802712222258417,0.03375244140573498,0.06039428710845346,0.045761108397739246,0.1278686523417989,0.19233703612987768,0.1694183349583524,0.09280395507670894,0.07653808593633213,0.08363342285028637,0.11749267577945721,Canker
9069.0,6386.0,2208.0,8458.0,9630.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,234.0,3676.0,3188.0,18772.0,3696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22752.0,14809.0,5063.0,1700.0,484.0,139.0,70.0,79.0,51.0,56.0,57.0,57.0,59.0,65.0,85.0,154.0,249.0,441.0,657.0,907.0,1015.0,1168.0,1386.0,1751.0,2208.0,2104.0,1564.0,1211.0,983.0,746.0,3461.0,0.0,0.0,0.0,0.0,267.0,1001.0,2992.0,3713.0,2398.0,1447.0,1273.0,986.0,865.0,773.0,705.0,600.0,585.0,512.0,527.0,486.0,437.0,460.0,711.0,1496.0,2714.0,12485.0,22203.0,5200.0,691.0,9.0,0.0,0.0,62.30749080882353,0.9917137599541219,0.0735613912215443,0.4635433182560853,0.029312133788615236,0.0686035156239532,0.02615356445272593,0.09739685058445136,0.13912963866975206,0.1663055419896499,0.08390808105340718,0.09564208984229063,0.1573333740210368,0.13621520995885902,Canker
2050.0,1986.0,3484.0,6833.0,16292.0,79.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,699.0,16514.0,6540.0,2568.0,3162.0,1801.0,3019.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0,13847.0,22156.0,1000.0,183.0,130.0,103.0,82.0,63.0,58.0,55.0,56.0,64.0,62.0,149.0,421.0,644.0,759.0,791.0,925.0,940.0,1152.0,1240.0,1390.0,1709.0,2012.0,2087.0,1962.0,1553.0,1191.0,987.0,7338.0,0.0,0.0,0.0,88.0,1457.0,3378.0,3249.0,2108.0,1334.0,1667.0,1483.0,1305.0,951.0,1009.0,1230.0,1370.0,1415.0,1356.0,991.0,1117.0,1296.0,1110.0,1259.0,2478.0,11433.0,12558.0,6400.0,3441.0,53.0,0.0,0.0,0.0,50.38446691176471,0.9934057284301443,0.057819180711181514,0.46045428898339763,0.025604248046484313,0.06187438964749338,0.030288696288600335,0.11083984374830873,0.16883850097398626,0.17274475097392664,0.08433532714715065,0.08569335937369243,0.1407318115212901,0.11904907226380847,Canker
3738.0,25394.0,8257.0,7643.0,10374.0,1650.0,909.0,296.0,410.0,345.0,487.0,487.0,828.0,743.0,494.0,1460.0,192.0,133.0,99.0,80.0,276.0,777.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3757.0,3018.0,2570.0,2245.0,2085.0,2146.0,2411.0,2682.0,3145.0,2918.0,2695.0,2574.0,2553.0,2349.0,2105.0,1999.0,2059.0,1747.0,1523.0,1610.0,1502.0,1421.0,1360.0,1525.0,1233.0,1185.0,1172.0,1122.0,1128.0,1207.0,1395.0,3095.0,15.0,357.0,2341.0,3916.0,4836.0,5262.0,5658.0,5678.0,4892.0,4059.0,3335.0,2872.0,2494.0,2231.0,1958.0,1592.0,1404.0,1210.0,1055.0,857.0,817.0,803.0,758.0,687.0,643.0,656.0,681.0,662.0,518.0,296.0,320.0,2673.0,814.6710937500002,0.8694184105212033,0.018510049723865912,0.14472284702341304,0.05728149413975096,0.07470703124886006,0.06527709960837896,0.12173461913876749,0.1973114013641768,0.12065124511534651,0.07096862792860462,0.08303833007685794,0.08912658691270255,0.11990356445129544,Canker
451.0,363.0,705.0,4797.0,8649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,2526.0,9933.0,18276.0,7719.0,11160.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,46555.0,4473.0,139.0,89.0,79.0,72.0,58.0,50.0,48.0,46.0,56.0,66.0,137.0,188.0,247.0,250.0,332.0,303.0,266.0,306.0,337.0,386.0,578.0,854.0,1200.0,1776.0,2298.0,1999.0,1390.0,644.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,131.0,1052.0,2412.0,2847.0,2283.0,1751.0,1188.0,824.0,534.0,524.0,513.0,549.0,578.0,1359.0,4467.0,17311.0,19903.0,7270.0,0.0,0.0,0.0,0.0,0.0,0.0,35.96744791666667,0.9891543113348912,0.08547205579328533,0.5304231340519855,0.02842712402300374,0.07171630859265571,0.023773193359012252,0.09425354003762432,0.11167907714673342,0.15855407714601819,0.086639404295553,0.10061645507658973,0.17669677734105385,0.14764404296649714,Canker
633.0,645.0,1484.0,7350.0,3428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,3584.0,10385.0,8370.0,17368.0,3580.0,8092.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32640.0,18902.0,1247.0,73.0,40.0,41.0,37.0,33.0,40.0,23.0,21.0,15.0,20.0,40.0,30.0,48.0,43.0,42.0,54.0,121.0,296.0,607.0,1205.0,1669.0,2312.0,2392.0,1678.0,921.0,495.0,247.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,29.0,279.0,1263.0,1390.0,1175.0,887.0,969.0,1166.0,1084.0,997.0,1022.0,1003.0,1072.0,1037.0,9116.0,24084.0,14141.0,4679.0,137.0,0.0,0.0,0.0,0.0,0.0,28.119623161764718,0.9870268613977203,0.07505441520279527,0.5290129432683949,0.031478881835457176,0.07093811035048007,0.0262603759761618,0.09770202636569669,0.10868835449052906,0.15200805663830555,0.0867767333971134,0.10273742675624487,0.17153930663800754,0.15187072753674516,Canker
434.0,334.0,471.0,1881.0,17997.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,7203.0,11142.0,13165.0,6019.0,2453.0,3385.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,30691.0,13793.0,355.0,59.0,46.0,48.0,34.0,47.0,39.0,44.0,45.0,143.0,452.0,1072.0,2064.0,2325.0,2613.0,2384.0,1930.0,1555.0,1180.0,909.0,698.0,515.0,543.0,414.0,385.0,258.0,195.0,143.0,284.0,0.0,0.0,0.0,0.0,158.0,1947.0,5211.0,5444.0,3855.0,1492.0,602.0,423.0,300.0,244.0,229.0,213.0,178.0,183.0,141.0,120.0,177.0,580.0,4994.0,8186.0,14695.0,15440.0,724.0,0.0,0.0,0.0,0.0,0.0,50.825919117647054,0.9932701963036394,0.08108890011375809,0.5541263766697622,0.03887939453065675,0.07267761230357854,0.02781677246051305,0.09436035156106018,0.10342407226404689,0.13540649413855887,0.08699035644398515,0.10003662109222357,0.1825714111300267,0.15783691406009162,Canker
4421.0,1761.0,2294.0,17984.0,13152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2006.0,1881.0,2420.0,4064.0,1581.0,11240.0,2704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,23003.0,7527.0,729.0,349.0,140.0,110.0,97.0,57.0,55.0,52.0,60.0,50.0,60.0,93.0,81.0,85.0,163.0,2465.0,4402.0,4742.0,4992.0,4557.0,4013.0,3229.0,1978.0,1228.0,592.0,285.0,154.0,101.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,22.0,105.0,233.0,861.0,1695.0,2601.0,3293.0,5192.0,6801.0,4213.0,2691.0,2005.0,2053.0,2309.0,2551.0,2942.0,3111.0,5836.0,13465.0,3184.0,361.0,0.0,49.96026348039216,0.9864594254214113,0.04057954866348928,0.38252516875197523,0.03324890136668016,0.07014465331924219,0.04302978515559342,0.11665344238103252,0.16720581054432365,0.15042114257582978,0.08750915527210222,0.08718872070179462,0.10807800292803837,0.1365203857401044,Canker
5673.0,3175.0,7288.0,15176.0,4289.0,6.0,1.0,104.0,0.0,8.0,0.0,15.0,0.0,9.0,7.0,645.0,6876.0,2540.0,6613.0,4459.0,5715.0,2636.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7739.0,24660.0,3485.0,934.0,523.0,303.0,236.0,201.0,207.0,157.0,195.0,179.0,225.0,186.0,217.0,486.0,1011.0,1566.0,2298.0,3056.0,3684.0,3277.0,2149.0,1571.0,1630.0,1987.0,1765.0,671.0,301.0,83.0,28.0,526.0,4432.0,61.0,49.0,32.0,38.0,66.0,528.0,1492.0,1622.0,2021.0,2496.0,3575.0,3220.0,3265.0,3534.0,2700.0,1986.0,5176.0,3565.0,5138.0,7939.0,8923.0,3678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.531678921568638,0.9939611419204387,0.07594599466978731,0.6166113065656578,0.010345458984217142,0.03262329101512721,0.014495849609153812,0.11247253417797132,0.17196655273175102,0.22740173339496764,0.07281494140513894,0.07527160644416396,0.225708007809056,0.05690002441319428,Canker
2742.0,2288.0,3524.0,6008.0,1817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,2963.0,10852.0,9055.0,19392.0,2468.0,3776.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,31291.0,18781.0,2822.0,955.0,206.0,83.0,75.0,66.0,64.0,97.0,110.0,179.0,231.0,394.0,373.0,451.0,316.0,224.0,233.0,371.0,496.0,595.0,650.0,597.0,581.0,661.0,604.0,535.0,702.0,936.0,1819.0,0.0,0.0,87.0,1769.0,1065.0,670.0,364.0,250.0,226.0,189.0,861.0,1135.0,654.0,705.0,726.0,492.0,362.0,259.0,413.0,939.0,1855.0,8825.0,14660.0,21582.0,7446.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.39111519607843,0.9952837810300446,0.08778355399573819,0.6162770549861447,0.028442382812066007,0.06959533691300057,0.021453857421547644,0.10111999511564454,0.10943603515458016,0.15208435058361688,0.09024047851424805,0.10569763183432469,0.1800231933566281,0.14190673827908468,Canker
